,Filter: 200A max (per ESC); 260A max (per parallel Battery).,Motor,Battery,Drive System,Speed Control
0,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
1,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
2,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
3,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
4,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
5,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
6,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
7,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
8,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
9,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
10,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
11,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
12,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
13,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
14,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
15,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
16,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
17,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
18,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
19,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
20,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
21,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
22,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
23,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
24,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
25,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
26,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
27,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
28,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
29,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
30,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
31,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
32,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
33,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
34,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
35,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
36,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
37,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
38,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
39,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
40,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
41,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
42,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
43,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
44,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
45,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
46,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
47,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
48,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
49,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
50,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
51,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
52,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
53,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
54,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
55,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
